ep,caught,alive,personal_story,intro_quote,closing_quote,criminal_gender,group_size,number_of_victims,criminal_type_1,criminal_type_2,criminal_type_3,criminal_type_4,criminal_type_5
1x01,yes,no,,gideon,gideon,male,1,6,serial killer,serial rapist,kidnapper,killer cop,
1x02,yes,yes,gideon,gideon,gideon,female,1,8,serial arsonist,serial killer,,,
1x03,no,no,,gideon,,male,1,14,serial bomber,serial killer,con artist,copycat,
1x04,yes,yes,,gideon,gideon,male,1,7,serial killer,serial rapist,stalker,,
1x05,yes,yes,,gideon,gideon,male,1,5,stalker,collector,kidnapper,,
1x06,yes,yes,reid,gideon,hotchner,male,1,13,long distance serial killer,serial killer,workplace shooter,cop killer,
1x07,yes,yes,,gideon,,male,1,22,pedophile,family annihilator,serial killer,,
1x08,yes,yes,,gideon,gideon,male,1,107,serial killer,thrill killer,hitman,cop killer,arsonist
1x09,yes,yes,greenaway,gideon,reid,male,1,7,cop killer,,,,
1x10,yes,yes,reid,gideon,gideon,male,1,4,killer,,,,
1x11,yes,yes,gideon,gideon,,male,1,4,spree killer,cannibal,kidnapper,robber,
1x12,yes,yes,,gideon,gideon,male,1,2,kidnapper,hebephile,,,
1x13,yes,no,,gideon,gideon,male,1,26,poisoner,wound collector,,,
1x14,,,,gideon,gideon,,,,,,,,
1x15,yes,yes,,gideon,greenaway,male,1,9,serial killer,stalker,,,
1x16,yes,both,,hotchner,hotchner,male,8,13,killer,,,,
1x17,yes,no,,gideon,hotchner,male,1,6,serial killer,spree killer,vigilante,,
1x18,yes,yes,reid,gideon,gideon,female,1,9,serial killer,spree killer,stalker,assassin,
1x19,no,no,gideon,hotchner,hotchner,male,1,29,serial rapist,serial killer,kidnapper,,
1x20,yes,no,,gideon,gideon,male,1,12,serial killer,spree killer,kidnapper,stalker,hebephile
1x21,no,unknown,,gideon,gideon,male,1,3,serial killer,cop killer,killer cop,traitor,spy
1x22,no,yes,greenaway,gideon,,male,1,13,serial killer,stalker,hacker,bomber,proxy killer
2x01,no,no,reid,gideon,reid,male,1,13,serial killer,stalker,hacker,bomber,proxy killer
2x02,yes,yes,,gideon,,male,1,2,kidnapper,pedophile,rapist,,
2x03,yes,yes,,gideon,hotchner,both,2,7,serial killer,kidnapper,serial rapist,,
2x04,yes,yes,hotchner,hotchner,hotchner,male,1,20,bank robber,spree killer,,,
2x05,yes,no,greenaway,gideon,,male,1,11,serial rapist,stalker,ephebophile,proxy killer,
2x06,yes,yes,greenaway,hotchner,,male,1,4,serial killer,,,,
2x07,yes,yes,jareau,jareau,jareau,male,1,3,kidnapper,proxy killer,,,
2x08,yes,yes,,gideon,,male,1,22,spree killer,serial bomber,,,
2x09,yes,yes,prentiss,gideon,hotchner,male,2,19,serial killer,necrophiliac,,,
2x10,,,,gideon,gideon,,,,,,,,
2x11,yes,yes,reid,reid,reid,male,1,5,serial killer,spree killer,vigilante,house cleaner,
2x12,yes,yes,morgan,morgan,,male,1,58,pedophile,serial killer,,,
2x13,no,yes,,gideon,,male,1,195,serial killer,stalker,kidnapper,,
2x14,no,yes,reid,gideon,,male,1,11,serial killer,hacker,kidnapper,angel of death,
2x15,yes,no,reid,hotchner,,male,1,11,serial killer,hacker,kidnapper,angel of death,
2x16,yes,yes,,gideon,reid,male,1,7,serial killer,,,,
2x17,yes,no,reid,gideon,hotchner,male,1,6,spree killer,cop killer,stalker,,
2x18,yes,yes,jareau,gideon,,female,1,9,serial killer,spree killer,copycat,wound collector,
2x19,no,no,,hotchner,hotchner,male,1,12,serial killer,family annihilator,stalker,spree killer,serial arsonist
2x20,no,no,prentiss,prentiss,prentiss,male,1,3,kidnapper,gangster,international criminal,,
2x21,yes,no,,gideon,prentiss,male,2,27,serial killer,thrill killer,kidnapper,,
2x22,yes,no,,hotchner,hotchner,male,2,65,serial killer,house cleaner,kidnapper,,
2x23,no,no,gideon,gideon,,male,1,195,serial killer,stalker,kidnapper,,
3x01,no,no,,,,male,1,5,spree killer,,,,
3x02,yes,no,,hotchner,,male,2,8,serial killer,spree killer,kidnapper,copycat,
3x03,yes,no,,hotchner,hotchner,male,1,18,serial killer,,,,
3x04,yes,yes,,prentiss,,male,2,17,serial killer,family annihilator,robber,,
3x05,yes,yes,,hotchner,hotchner,male,1,1,pedophile,,,,
3x06,yes,yes,rossi,hotchner,,male,1,3,serial killer,serial rapist,stalker,kidnapper,
3x07,yes,no,,rossi,,male,2,17,serial killer,serial rapist,kidnapper,bomber,copycat
3x08,yes,yes,garcia,morgan,morgan,male,1,18,serial killer,cannibal,kidnapper,proxy killer,
3x09,yes,no,garcia,garcia,,male,1,12,serial killer,spree killer,stalker,cop killer,killer cop
3x10,yes,yes,,reid,garcia,male,1,15,serial killer,spree killer,mass murderer,vigilante,kidnapper
3x11,no,no,,hotchner,jareau,male,1,4,serial killer,serial rapist,ephebophile,copycat,kidnapper
3x12,yes,no,,hotchner,hotchner,male,1,3,serial killer,thrill killer,kidnapper,rapist,
3x13,yes,yes,,rossi,rossi,male,1,25,serial killer,serial rapist,kidnapper,,
3x14,yes,yes,,rossi,hotchner,male,1,2,killer,,,,
3x15,yes,yes,,rossi,prentiss,male,1,8,serial killer,spree killer,angel of death,,
